                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7978,                 1.1516,                 1.4586,                 1.9516,                 1.3238,                 1.3861,                0.59687,                0.51682,                0.56204,                0.21901,                 2.0695,                 1.4772,                 1.5567,                 2.1686,                 1.7498,                 1.4884,             0.00025553,             0.00025553,             0.00025553
                      2,                 1.9062,                 1.3195,                 1.5244,                 2.0679,                 1.5026,                 1.4455,                0.55334,                0.30969,                0.27085,                 0.0947,                 2.2802,                 2.3245,                  1.722,                 2.3191,                 3.2968,                 1.5894,             0.00051183,             0.00051183,             0.00051183
                      3,                 1.9781,                 1.5483,                 1.5663,                 2.1488,                 1.7812,                 1.4724,                0.43892,                 0.1666,                0.13908,                0.04087,                  2.727,                 5.0331,                 2.1404,                  2.739,                 5.0644,                 1.8784,             0.00075757,             0.00075757,             0.00075757
                      4,                 2.0906,                 1.6773,                 1.6383,                 2.2422,                 1.9459,                 1.5464,                0.15904,                0.17574,                0.10166,                0.03232,                 2.4922,                 6.0465,                 1.9533,                 2.5838,                 7.4431,                 1.8469,             0.00099276,             0.00099276,             0.00099276
                      5,                 2.0146,                 1.5482,                 1.5968,                 2.1656,                 1.8135,                  1.495,                0.41121,                0.35604,                0.31592,                0.11284,                 2.2338,                 3.4943,                 1.7546,                 2.3146,                 3.7046,                 1.6246,               0.001023,               0.001023,               0.001023
                      6,                  1.986,                 1.4938,                 1.5692,                 2.1185,                 1.6999,                 1.4756,                0.43031,                0.36749,                  0.347,                0.13997,                 2.1581,                 2.5244,                 1.7002,                 2.2829,                 3.0671,                 1.5956,               0.001023,               0.001023,               0.001023
                      7,                 1.9604,                 1.3794,                 1.5717,                 2.1062,                 1.5828,                 1.4698,                0.41781,                0.43582,                0.36085,                0.12708,                 2.2366,                 1.9899,                 1.7934,                 2.2881,                 2.2893,                 1.6598,               0.001001,               0.001001,               0.001001
                      8,                 1.9235,                 1.3365,                 1.5305,                 2.0847,                 1.5036,                 1.4632,                0.40332,                0.30707,                0.27549,                0.08956,                 2.4461,                  2.917,                 1.8326,                 2.5777,                 4.2557,                 1.7598,             0.00097901,             0.00097901,             0.00097901
                      9,                 1.8873,                 1.2791,                 1.5255,                  2.056,                 1.4743,                 1.4432,                0.46549,                0.27276,                0.27692,                0.10255,                 2.3626,                  3.044,                 1.7778,                 2.4268,                   4.23,                 1.6616,             0.00095702,             0.00095702,             0.00095702
                     10,                 1.8795,                 1.2809,                 1.5222,                 2.0288,                 1.4274,                  1.453,                0.65344,                0.47488,                0.50152,                0.18808,                 2.1566,                 1.7321,                 1.6419,                 2.2576,                  1.994,                  1.586,             0.00093502,             0.00093502,             0.00093502
                     11,                 1.8094,                 1.1618,                 1.4684,                 1.9946,                 1.3057,                 1.4048,                0.62738,                0.55131,                0.56209,                0.22084,                 2.1502,                 1.4438,                 1.6893,                 2.2977,                  1.526,                 1.5897,             0.00091302,             0.00091302,             0.00091302
                     12,                 1.8022,                 1.1094,                 1.4551,                 1.9975,                 1.2471,                 1.3901,                0.61218,                0.48808,                0.51327,                 0.2019,                 2.0717,                 1.6769,                 1.6016,                 2.2631,                 1.9423,                 1.5488,             0.00089102,             0.00089102,             0.00089102
                     13,                 1.8013,                 1.1331,                 1.4455,                 2.0035,                 1.2696,                 1.3866,                0.54331,                0.46616,                0.48243,                0.21345,                 2.0539,                 1.5266,                 1.5652,                 2.1646,                 1.7818,                 1.5157,             0.00086902,             0.00086902,             0.00086902
                     14,                 1.7804,                 1.1107,                 1.4495,                 1.9777,                 1.2288,                 1.3725,                0.60616,                0.54171,                0.54851,                0.23198,                 2.0532,                 1.3897,                 1.5852,                 2.2104,                 1.5952,                 1.5476,             0.00084703,             0.00084703,             0.00084703
                     15,                 1.7377,                 1.0767,                 1.4408,                 1.9257,                  1.173,                 1.3869,                0.61145,                 0.6299,                0.60245,                0.26657,                 2.0147,                 1.2873,                 1.5883,                 2.1495,                 1.4736,                 1.5273,             0.00082503,             0.00082503,             0.00082503
                     16,                 1.7307,                 1.0189,                 1.4125,                 1.9169,                  1.122,                 1.3525,                0.69605,                0.51114,                0.57876,                0.25233,                 2.0705,                 1.4333,                 1.5976,                 2.1923,                  1.653,                 1.5263,             0.00080303,             0.00080303,             0.00080303
                     17,                  1.705,                0.99477,                 1.4133,                 1.8686,                 1.1029,                 1.3585,                0.65128,                0.58805,                0.62615,                 0.2706,                 1.9903,                  1.325,                 1.5411,                 2.0949,                 1.4879,                 1.4902,             0.00078103,             0.00078103,             0.00078103
                     18,                 1.6675,                0.94791,                 1.3935,                 1.8671,                 1.0301,                 1.3357,                0.71608,                0.62112,                0.63784,                0.26271,                 2.0247,                 1.2059,                  1.575,                 2.2077,                 1.3704,                 1.5208,             0.00075904,             0.00075904,             0.00075904
                     19,                 1.6637,                0.92649,                 1.3931,                 1.8639,                 1.0126,                 1.3349,                0.72393,                0.62371,                0.66933,                0.28536,                 1.9872,                 1.1711,                  1.586,                 2.1356,                 1.3321,                 1.4916,             0.00073704,             0.00073704,             0.00073704
                     20,                 1.6398,                0.91278,                 1.3696,                 1.8277,                0.99427,                 1.3124,                0.71492,                0.57641,                0.60805,                0.25706,                  2.083,                 1.2317,                 1.6069,                 2.2681,                 1.3207,                 1.5616,             0.00071504,             0.00071504,             0.00071504
                     21,                 1.6142,                0.90406,                 1.3499,                 1.8125,                0.95135,                 1.2971,                0.73324,                0.64622,                0.69634,                0.31349,                 1.9931,                  1.162,                 1.5497,                 2.1686,                 1.2319,                 1.4836,             0.00069304,             0.00069304,             0.00069304
                     22,                 1.6092,                 0.8711,                 1.3539,                 1.7916,                0.94466,                 1.3117,                0.74676,                0.58849,                0.68107,                 0.3075,                 1.9651,                 1.1427,                 1.5253,                 2.1456,                 1.2495,                 1.5012,             0.00067104,             0.00067104,             0.00067104
                     23,                 1.5759,                0.85664,                 1.3407,                 1.7846,                0.88542,                 1.3045,                0.76228,                0.61722,                0.68393,                0.31103,                 1.9159,                 1.1596,                 1.5362,                 2.1034,                 1.2182,                 1.4778,             0.00064905,             0.00064905,             0.00064905
