                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5552,                0.86075,                 1.3337,                 1.7443,                0.89065,                  1.296,                0.78297,                0.61069,                0.68961,                0.31253,                 2.0146,                 1.2407,                 1.5855,                 2.2032,                 1.2212,                 1.5433,             0.00062705,             0.00062705,             0.00062705
                     25,                 1.5328,                 0.8148,                 1.3128,                 1.7217,                0.83954,                  1.266,                0.72994,                0.67354,                  0.721,                0.33024,                  1.905,                 1.0373,                 1.5107,                 2.0411,                 1.1157,                  1.444,             0.00060505,             0.00060505,             0.00060505
                     26,                 1.5234,                0.81204,                 1.2882,                 1.7458,                0.85903,                 1.2424,                0.75669,                0.68666,                 0.7343,                0.32846,                 1.8859,                 1.0204,                 1.5181,                 2.0103,                 1.0897,                 1.4366,             0.00058305,             0.00058305,             0.00058305
                     27,                 1.5163,                0.80876,                 1.2908,                 1.7319,                0.84781,                 1.2483,                0.68333,                0.63839,                0.67257,                0.30674,                 1.9746,                 1.1566,                 1.5436,                 2.1221,                 1.2936,                 1.4796,             0.00056105,             0.00056105,             0.00056105
                     28,                 1.4864,                 0.7703,                  1.285,                  1.684,                0.78297,                 1.2378,                0.76998,                0.61008,                0.68594,                0.31038,                 1.9375,                 1.1961,                  1.518,                 2.0635,                 1.3282,                 1.4488,             0.00053906,             0.00053906,             0.00053906
                     29,                 1.4839,                0.75796,                 1.2801,                 1.6797,                0.78749,                 1.2469,                0.82596,                0.58057,                0.68506,                0.31317,                 1.9411,                 1.1609,                 1.5308,                 2.0697,                 1.3137,                 1.4455,             0.00051706,             0.00051706,             0.00051706
                     30,                 1.4841,                0.76843,                 1.2958,                 1.6902,                0.80838,                 1.2484,                0.74868,                0.71435,                0.73282,                0.35563,                 1.8116,                0.99558,                  1.453,                 1.9825,                 1.1187,                 1.3928,             0.00049506,             0.00049506,             0.00049506
                     31,                 1.4447,                0.74034,                 1.2679,                 1.6324,                0.78013,                 1.2244,                0.74731,                0.68516,                0.72042,                0.32716,                 1.9211,                 1.1107,                 1.5173,                 2.0675,                 1.2118,                 1.4471,             0.00047306,             0.00047306,             0.00047306
                     32,                 1.4439,                 0.7264,                  1.277,                 1.6181,                 0.7295,                 1.2368,                0.84905,                0.64185,                0.73519,                0.34387,                 1.9054,                 1.0615,                 1.5211,                 2.0591,                 1.1134,                 1.4542,             0.00045107,             0.00045107,             0.00045107
                     33,                  1.396,                0.70437,                 1.2335,                 1.5993,                0.69981,                 1.2067,                0.83438,                0.69963,                0.76343,                0.34608,                 1.9334,                 1.0589,                 1.5513,                  2.073,                  1.114,                 1.4823,             0.00042907,             0.00042907,             0.00042907
                     34,                 1.4233,                0.70207,                 1.2407,                 1.6274,                0.72632,                 1.1969,                0.80155,                0.63804,                0.73602,                0.34103,                  1.881,                 1.0317,                 1.5051,                 2.0384,                 1.1473,                 1.4389,             0.00040707,             0.00040707,             0.00040707
                     35,                 1.3805,                0.70024,                 1.2284,                 1.5855,                0.70137,                 1.1944,                0.80227,                0.67017,                0.75529,                0.34675,                 1.8856,                 1.0331,                 1.5371,                 2.0579,                 1.1186,                 1.4501,             0.00038507,             0.00038507,             0.00038507
                     36,                 1.3963,                0.67737,                 1.2365,                 1.5955,                0.66393,                 1.1973,                0.76697,                0.68615,                0.74982,                0.33985,                 1.8683,                 1.0171,                 1.5134,                 2.0481,                 1.1169,                  1.447,             0.00036307,             0.00036307,             0.00036307
                     37,                 1.3577,                0.67227,                 1.2287,                 1.5468,                0.65916,                 1.1874,                0.80373,                0.66928,                0.75329,                  0.341,                 1.9496,                 1.0063,                  1.552,                 2.1059,                  1.122,                 1.4787,             0.00034108,             0.00034108,             0.00034108
                     38,                 1.3571,                0.66795,                 1.2177,                 1.5792,                0.66682,                 1.1721,                0.75426,                0.66614,                0.72097,                0.32102,                 1.9677,                 1.1128,                 1.5778,                 2.1693,                 1.2825,                 1.5242,             0.00031908,             0.00031908,             0.00031908
                     39,                 1.3258,                0.66257,                 1.2054,                 1.5345,                0.67295,                 1.1741,                 0.7813,                0.63984,                0.71541,                0.33954,                 1.9218,                   1.03,                 1.5446,                 2.1279,                 1.1853,                 1.5017,             0.00029708,             0.00029708,             0.00029708
                     40,                 1.3106,                0.65794,                 1.2047,                 1.5201,                0.63916,                 1.1731,                0.77177,                0.67091,                0.72948,                0.33866,                 1.8761,                 1.0498,                 1.5277,                 2.0659,                 1.1565,                 1.4746,             0.00027508,             0.00027508,             0.00027508
                     41,                 1.3028,                0.63328,                 1.1907,                 1.5022,                0.60606,                 1.1592,                 0.8079,                0.65787,                0.74513,                0.35222,                 1.8602,                0.99395,                 1.5207,                 2.0573,                 1.1012,                 1.4662,             0.00025309,             0.00025309,             0.00025309
                     42,                 1.2795,                0.61775,                 1.1781,                 1.4871,                 0.6121,                 1.1465,                0.82182,                0.66954,                  0.756,                0.35031,                 1.8481,                 1.0671,                 1.4962,                 2.0175,                 1.1369,                 1.4355,             0.00023109,             0.00023109,             0.00023109
                     43,                 1.2581,                0.60615,                 1.1643,                 1.4564,                0.58081,                 1.1357,                0.81031,                0.67677,                0.75656,                0.35348,                 1.8391,                 1.0404,                 1.5213,                 2.0235,                 1.1509,                 1.4428,             0.00020909,             0.00020909,             0.00020909
                     44,                 1.2361,                0.59551,                 1.1605,                 1.4437,                0.57937,                 1.1271,                0.78532,                 0.6842,                 0.7515,                0.35438,                 1.8693,                 1.0405,                 1.5351,                  2.059,                 1.1541,                 1.4727,             0.00018709,             0.00018709,             0.00018709
                     45,                 1.2473,                0.60214,                 1.1573,                 1.4421,                0.57571,                 1.1284,                0.83066,                0.63527,                0.73977,                0.34768,                 1.8279,                  1.109,                 1.5028,                 2.0196,                 1.2727,                 1.4377,             0.00016509,             0.00016509,             0.00016509
                     46,                 1.2046,                0.58397,                 1.1489,                 1.4052,                 0.5483,                 1.1173,                0.84528,                 0.6454,                0.74049,                0.35378,                 1.8286,                 1.0592,                 1.4903,                 2.0395,                 1.2059,                 1.4419,              0.0001431,              0.0001431,              0.0001431
                     47,                 1.1793,                0.57984,                 1.1271,                 1.3844,                0.54042,                 1.1046,                0.81343,                0.62864,                0.72383,                0.34128,                 1.8802,                 1.1851,                 1.5464,                 2.0724,                 1.3191,                   1.48,              0.0001211,              0.0001211,              0.0001211
                     48,                 1.1653,                0.55435,                 1.1278,                 1.3698,                0.52278,                 1.1008,                0.81484,                0.64633,                 0.7271,                0.34561,                 1.8495,                 1.1132,                 1.5288,                 2.0472,                 1.2513,                 1.4641,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                 1.1603,                0.54993,                 1.1139,                 1.3436,                0.52155,                 1.0881,                0.80702,                0.65448,                0.72999,                 0.3463,                 1.8672,                 1.1162,                  1.538,                 2.0778,                  1.259,                 1.4837,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                  1.152,                0.54419,                 1.1134,                 1.3393,                0.50928,                  1.091,                0.86861,                0.64137,                0.73295,                0.35139,                 1.8608,                 1.1372,                 1.5297,                 2.0595,                 1.2499,                 1.4678,             5.5106e-05,             5.5106e-05,             5.5106e-05
