                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4699,                 3.9027,                 1.8678,                  2.488,                 5.9225,                 1.5944,                0.08807,                0.12841,                 0.0579,                0.01595,                 2.7189,                 8.4151,                 2.0189,                 2.5508,                 9.1324,                 1.7141,             0.00025553,             0.00025553,             0.00025553
                      2,                 2.2134,                 2.1224,                 1.6697,                 2.2822,                 2.7015,                 1.4916,                0.03371,                 0.0098,                0.01823,                0.00422,                 4.6801,                 8.6837,                 4.0109,                 4.6044,                 375.13,                 3.0794,               0.000517,               0.000517,               0.000517
                      3,                 2.3038,                  2.102,                 1.7449,                 2.3904,                 2.4773,                 1.5769,                0.01277,                 0.0237,                0.00567,                0.00113,                 4.9497,                 2909.6,                 11.763,                 4.6738,                  96.03,                 7.9755,             0.00077319,             0.00077319,             0.00077319
                      4,                  2.295,                 2.0456,                 1.7581,                 2.4234,                  2.435,                 1.6028,                0.24426,                0.02546,                0.01559,                0.00345,                  3.558,                 43.546,                 5.1684,                 3.3775,                 770.64,                 3.1769,              0.0010241,              0.0010241,              0.0010241
                      5,                 2.1416,                 1.7626,                 1.6315,                 2.3191,                 2.1522,                 1.4929,                0.23575,                0.20113,                0.11834,                0.03099,                 2.8462,                 15.516,                 2.5036,                  2.864,                 15.333,                 2.1694,               0.001067,               0.001067,               0.001067
                      6,                 2.0969,                 1.6577,                 1.6259,                 2.2471,                 2.0053,                 1.4862,                0.36216,                0.10373,                0.06974,                0.02078,                 2.9072,                 10.688,                 2.3735,                 2.8009,                 19.645,                 2.0239,               0.001067,               0.001067,               0.001067
                      7,                  2.002,                 1.4874,                 1.5282,                 2.2013,                 1.7681,                  1.429,                0.26682,                0.24899,                0.19922,                0.06299,                 2.5511,                 4.2357,                  2.082,                 2.6166,                 5.8652,                 1.9277,               0.001056,               0.001056,               0.001056
                      8,                 1.9906,                 1.4797,                 1.5333,                 2.2163,                 1.7052,                 1.4434,                0.41327,                0.26834,                0.23176,                0.08532,                  2.338,                 5.0479,                 1.8647,                 2.4433,                 5.1169,                 1.7477,               0.001045,               0.001045,               0.001045
                      9,                  1.891,                 1.3231,                 1.4726,                 2.1067,                 1.5736,                 1.3755,                0.34735,                0.28299,                0.25569,                0.09591,                 2.3081,                 3.5924,                 1.8177,                 2.4419,                 5.0988,                 1.7217,               0.001034,               0.001034,               0.001034
                     10,                 1.8855,                 1.2921,                 1.4708,                 2.1046,                 1.5465,                  1.387,                0.64129,                0.36345,                0.42364,                0.16699,                 2.1785,                 2.2957,                 1.7269,                 2.3116,                 4.1132,                 1.6184,               0.001023,               0.001023,               0.001023
                     11,                 1.8988,                 1.2897,                 1.4842,                 2.1026,                 1.5281,                 1.3982,                0.27711,                0.26809,                0.18985,                0.06082,                 2.5927,                 3.0399,                 1.8602,                 2.7757,                 6.4521,                 1.8126,               0.001012,               0.001012,               0.001012
                     12,                 1.8666,                 1.2244,                 1.4685,                 2.0948,                 1.4606,                 1.3852,                0.54324,                  0.488,                0.49371,                0.19332,                 2.1654,                 1.9355,                 1.6959,                 2.2652,                 3.0157,                 1.5908,               0.001001,               0.001001,               0.001001
                     13,                 1.8211,                 1.1668,                 1.4272,                 2.0577,                 1.3679,                 1.3494,                0.55956,                0.47266,                0.48913,                0.18948,                 2.0558,                 1.7857,                 1.6343,                 2.2542,                 2.3062,                 1.5602,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.7872,                 1.1624,                 1.4176,                 2.0084,                  1.312,                 1.3324,                0.50417,                0.51012,                0.49705,                0.18949,                 2.1324,                 1.6168,                   1.67,                 2.2903,                 2.4314,                 1.5707,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.7699,                 1.0869,                 1.4075,                  2.002,                 1.2786,                 1.3395,                0.61506,                0.54199,                0.56114,                0.23454,                 2.1076,                 1.3923,                 1.6438,                 2.2767,                 1.7006,                 1.5651,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.7202,                  1.056,                 1.3805,                 1.9471,                 1.2396,                 1.3115,                0.56125,                0.53474,                0.52207,                  0.208,                 2.0918,                 1.4298,                 1.6255,                 2.2354,                 2.3366,                 1.5422,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.6981,                 1.0319,                 1.3559,                 1.9369,                 1.1873,                 1.2896,                0.68712,                0.56053,                0.61539,                0.26198,                 1.9727,                 1.4612,                 1.5461,                  2.121,                 1.6546,                 1.4734,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.6814,                 1.0097,                 1.3522,                 1.9179,                 1.1766,                 1.2822,                0.67174,                0.60067,                0.65294,                0.26465,                 1.9526,                 1.3089,                 1.5473,                 2.1238,                 1.7429,                 1.4836,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.6644,                0.98451,                 1.3491,                 1.9079,                 1.1021,                 1.2875,                0.59173,                 0.5869,                0.56253,                0.22466,                 1.9545,                 1.4305,                 1.5499,                 2.1881,                 2.1384,                 1.5181,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.6417,                0.99018,                 1.3206,                 1.8923,                 1.0996,                 1.2561,                0.68485,                0.56877,                0.60494,                0.26251,                 1.9817,                 1.2195,                 1.5695,                 2.1577,                 1.4017,                 1.4883,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.6447,                0.94613,                 1.3348,                 1.8799,                 1.0831,                  1.271,                0.69888,                0.55799,                0.59805,                0.24583,                 2.0308,                 1.3272,                 1.5692,                  2.168,                 1.7984,                 1.4905,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.5958,                0.94217,                 1.3241,                 1.8394,                 1.0603,                 1.2714,                0.74181,                0.62326,                0.69165,                0.29682,                 1.9363,                 1.2278,                 1.5269,                 2.1254,                 1.6795,                 1.4944,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.5907,                0.90902,                 1.3008,                 1.8276,                 1.0283,                 1.2426,                0.74167,                0.62866,                0.67364,                0.29667,                 1.9017,                 1.1265,                  1.533,                 2.0835,                 1.3078,                 1.4605,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.5798,                0.90007,                 1.3041,                 1.8068,                 1.0318,                 1.2548,                0.68723,                0.63408,                 0.6535,                0.27914,                 1.9832,                 1.3617,                 1.5561,                 2.1143,                 1.8116,                 1.4876,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.5464,                0.88917,                 1.2861,                 1.7837,                 1.0366,                 1.2321,                0.69211,                0.57393,                0.60443,                0.26303,                 1.9861,                  1.306,                 1.5394,                 2.1497,                 1.6985,                 1.4872,             0.00085803,             0.00085803,             0.00085803
                     26,                  1.568,                0.89727,                 1.2835,                 1.7888,                0.99463,                 1.2275,                0.71997,                0.55517,                0.62728,                0.25951,                 1.9958,                 1.2894,                 1.5604,                 2.1644,                 1.6847,                 1.4963,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.5339,                0.86562,                 1.2719,                 1.7735,                0.93977,                 1.2256,                0.74122,                0.70348,                 0.7284,                0.30849,                 1.8832,                  1.054,                 1.4746,                 2.0693,                 1.1557,                 1.4381,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.5402,                0.86288,                  1.271,                 1.7669,                0.93836,                 1.2201,                0.72044,                0.69331,                0.72552,                0.33928,                 1.8305,                0.99204,                 1.4691,                 1.9789,                 1.0501,                 1.4115,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.5383,                0.86622,                 1.2649,                 1.7759,                0.95066,                 1.2128,                0.78087,                0.71161,                0.78058,                0.34434,                 1.8434,                0.96763,                 1.4798,                 2.0085,                 1.0459,                  1.413,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.5043,                0.83129,                 1.2494,                 1.7295,                0.91143,                 1.2107,                0.74523,                0.62084,                0.65841,                0.28195,                 1.9503,                 1.1537,                  1.515,                 2.1197,                 1.2772,                 1.4748,             0.00080303,             0.00080303,             0.00080303
                     31,                 1.4848,                0.82737,                 1.2386,                 1.7359,                0.88105,                 1.1965,                0.75313,                 0.7229,                0.76012,                 0.3413,                 1.7978,                 0.9763,                 1.4444,                 2.0052,                 1.0266,                 1.3996,             0.00079203,             0.00079203,             0.00079203
                     32,                 1.4613,                0.78515,                 1.2312,                 1.7199,                 0.8367,                 1.1898,                0.74547,                0.71207,                0.76007,                0.34504,                 1.8211,                0.95081,                 1.4787,                 2.0058,                0.95557,                 1.4234,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.4512,                0.79202,                 1.2309,                 1.7127,                0.84735,                 1.1981,                0.70401,                0.65001,                0.70318,                0.31064,                 1.8772,                 1.0806,                 1.4958,                 2.0307,                 1.1328,                 1.4382,             0.00077003,             0.00077003,             0.00077003
                     34,                 1.4814,                0.80389,                 1.2319,                 1.7282,                0.87095,                 1.1951,                0.74227,                0.69086,                0.75144,                 0.3582,                 1.7934,                 1.0201,                  1.445,                 1.9531,                 1.0714,                 1.4107,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.4339,                0.76832,                 1.2152,                 1.6764,                 0.8202,                 1.1746,                0.74188,                0.66514,                0.72519,                0.32414,                 1.8845,                 1.0636,                 1.4927,                 2.0382,                 1.3437,                  1.439,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.4063,                0.76107,                 1.1982,                 1.6538,                0.80354,                 1.1568,                0.75663,                0.65568,                0.73246,                0.32314,                 1.9011,                 1.0827,                 1.5135,                  2.075,                   1.27,                 1.4563,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.4348,                0.75789,                 1.1994,                 1.6646,                0.79499,                 1.1624,                0.76561,                0.74427,                0.77092,                0.35462,                 1.8092,                0.98108,                  1.456,                 1.9708,                 1.0088,                 1.3993,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.4251,                0.76089,                 1.2121,                 1.6475,                0.81731,                 1.1719,                0.84872,                 0.6959,                0.78835,                0.37337,                 1.7989,                0.93717,                 1.4428,                 1.9671,                0.97242,                 1.4048,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.3943,                0.73353,                 1.1885,                 1.6322,                0.78013,                 1.1603,                0.82057,                0.66968,                 0.7595,                0.35371,                 1.8233,                0.99346,                 1.4651,                 1.9825,                 1.0974,                 1.4087,             0.00070404,             0.00070404,             0.00070404
