                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                 1.3951,                 0.7322,                 1.1741,                 1.6396,                0.77581,                 1.1407,                0.74347,                0.70406,                0.74551,                0.34584,                 1.7895,                0.96109,                 1.4387,                 1.9709,                 1.0454,                 1.3966,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.3457,                0.71656,                   1.17,                 1.5869,                0.76149,                 1.1447,                0.75185,                0.67056,                 0.7313,                0.33079,                 1.8807,                 1.0153,                 1.4934,                 2.0236,                 1.1578,                  1.423,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.3459,                0.71669,                 1.1707,                 1.5832,                0.74159,                 1.1392,                0.75684,                0.62027,                0.68476,                0.31261,                 1.9426,                 1.0583,                 1.5085,                 2.1125,                 1.1645,                 1.4663,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.3596,                0.72785,                 1.1869,                 1.5958,                0.75155,                  1.151,                0.77981,                0.70168,                0.74278,                0.36825,                 1.7919,                0.90821,                  1.442,                 1.9342,                0.96253,                 1.3877,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.3626,                0.71765,                   1.18,                 1.5943,                0.74235,                 1.1499,                0.73872,                0.74371,                0.77384,                0.37265,                 1.7625,                0.93066,                 1.4402,                  1.909,                0.94255,                 1.3818,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.3425,                0.69022,                 1.1633,                 1.5819,                0.70899,                 1.1348,                 0.7757,                0.74131,                  0.776,                0.35377,                 1.8185,                 0.9417,                 1.4652,                 1.9803,                  1.001,                 1.4063,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.3134,                0.67507,                 1.1602,                 1.5488,                0.68611,                 1.1308,                0.77225,                0.73075,                0.79097,                0.37555,                 1.7701,                0.89833,                 1.4572,                 1.9575,                0.90805,                 1.4037,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.3105,                0.67455,                  1.144,                 1.5424,                0.67994,                 1.1131,                0.79327,                0.72879,                0.78114,                 0.3656,                 1.8097,                0.90157,                 1.4708,                 1.9607,                0.94843,                 1.4118,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.2924,                 0.6749,                 1.1375,                 1.5259,                0.68065,                 1.1083,                0.81387,                0.74754,                0.79835,                0.38386,                 1.7517,                0.86474,                 1.4561,                  1.892,                0.86056,                 1.3936,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.3051,                0.66619,                 1.1466,                 1.5334,                0.68555,                 1.1153,                0.81857,                0.73684,                0.80941,                0.37649,                 1.8022,                0.85517,                 1.4791,                  1.965,                0.86718,                 1.4198,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.2857,                0.65689,                 1.1332,                 1.5279,                 0.6752,                 1.0999,                0.80503,                0.73309,                0.78522,                0.36342,                 1.8194,                0.87187,                 1.4654,                 1.9722,                0.89449,                 1.4083,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.2987,                0.66566,                 1.1325,                 1.5349,                0.67298,                 1.1053,                0.78825,                0.79572,                0.82849,                0.39328,                 1.7527,                0.82446,                 1.4379,                 1.9086,                0.79137,                 1.3776,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.2775,                0.65547,                 1.1285,                 1.5131,                0.64923,                 1.1011,                0.82018,                0.75943,                0.80753,                0.39086,                 1.7979,                0.83859,                 1.4869,                 1.9529,                 0.8618,                 1.4101,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.2523,                0.62831,                 1.1311,                 1.4803,                0.62789,                 1.1094,                0.79405,                0.75341,                0.79054,                0.38485,                 1.7198,                0.92095,                 1.4296,                 1.8767,                0.93344,                 1.3733,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.2542,                0.65186,                 1.1274,                 1.4853,                0.64341,                 1.1036,                 0.8226,                0.72309,                 0.7995,                0.37844,                  1.819,                0.88875,                 1.4706,                 2.0011,                0.89185,                 1.4127,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.2354,                0.62633,                 1.1116,                  1.464,                 0.6306,                 1.0886,                 0.8262,                0.76159,                0.82713,                0.40099,                 1.7693,                 0.8826,                  1.452,                 1.9359,                0.87812,                 1.4051,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.2392,                0.61355,                 1.1008,                 1.4761,                0.61258,                 1.0794,                0.79647,                0.70935,                0.79144,                0.37663,                 1.8014,                  0.954,                 1.4642,                 1.9323,                  1.003,                 1.4044,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.2174,                0.60811,                  1.091,                 1.4608,                0.60308,                 1.0704,                0.72557,                0.76765,                0.77857,                0.35766,                 1.8243,                0.96576,                 1.4817,                 1.9922,                0.99276,                  1.429,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.2035,                0.60558,                 1.1024,                 1.4447,                0.60385,                 1.0761,                0.78754,                0.76131,                0.80425,                  0.382,                 1.8017,                 0.8782,                 1.4827,                 1.9533,                 0.9357,                 1.4093,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.2168,                0.62276,                 1.1058,                 1.4663,                0.63729,                 1.0768,                0.81476,                0.75827,                0.79429,                0.38062,                 1.8109,                0.89551,                 1.4829,                  1.974,                0.90569,                 1.4207,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.2001,                0.60696,                 1.0947,                 1.4362,                0.60653,                 1.0725,                0.73938,                0.72174,                 0.7422,                0.33056,                 1.8833,                  1.055,                 1.4922,                 2.0733,                  1.104,                  1.455,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.1741,                0.59423,                 1.0856,                  1.392,                0.58374,                 1.0627,                0.77566,                0.77274,                0.80381,                0.37107,                 1.7849,                0.86624,                 1.4639,                 1.9668,                0.86484,                 1.4069,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.1807,                0.57956,                 1.0777,                 1.4342,                0.56655,                 1.0584,                0.86848,                0.71432,                0.80279,                0.38192,                 1.7911,                 0.8651,                 1.4768,                 1.9602,                0.84727,                 1.4143,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.1527,                0.57359,                 1.0909,                 1.3736,                0.55306,                 1.0712,                0.79096,                0.79619,                 0.8259,                0.39207,                 1.7826,                0.84904,                 1.4794,                 1.9514,                0.82317,                 1.4276,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.1623,                0.58496,                 1.0704,                 1.4034,                 0.5679,                 1.0515,                0.81842,                0.72117,                0.77883,                 0.3668,                 1.8483,                0.94885,                 1.5166,                 1.9958,                 1.0083,                  1.451,             0.00042907,             0.00042907,             0.00042907
                     65,                 1.1382,                0.56579,                 1.0599,                 1.3807,                0.55337,                 1.0394,                0.72736,                0.71785,                0.74377,                0.34628,                 1.8736,                0.97525,                 1.5216,                  2.054,                 1.0762,                 1.4688,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.1329,                0.56332,                 1.0599,                 1.3644,                0.54295,                 1.0408,                0.80549,                0.79382,                0.81829,                0.38917,                 1.7984,                0.84395,                  1.502,                 1.9536,                0.86978,                 1.4243,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.1507,                0.57182,                 1.0634,                 1.3838,                0.56634,                 1.0453,                0.82636,                0.74215,                0.80311,                0.38384,                  1.772,                0.94514,                 1.4648,                 1.9254,                 0.9819,                 1.4133,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.1349,                0.56656,                 1.0572,                 1.3537,                0.55611,                 1.0414,                 0.8382,                0.73232,                0.79671,                0.38659,                 1.7784,                0.89258,                 1.4803,                 1.9195,                0.93175,                 1.4132,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.1212,                0.55088,                 1.0516,                  1.341,                0.53645,                 1.0363,                 0.8364,                0.76406,                0.81028,                0.38804,                 1.7687,                0.89055,                 1.4744,                 1.9282,                0.91725,                 1.4196,             0.00037407,             0.00037407,             0.00037407
                     70,                  1.103,                 0.5531,                 1.0463,                 1.3373,                0.53766,                 1.0254,                0.80118,                0.70013,                0.77144,                0.36174,                 1.8402,                 1.0269,                  1.497,                 1.9972,                 1.1182,                 1.4393,             0.00036307,             0.00036307,             0.00036307
                     71,                  1.082,                0.53675,                 1.0383,                 1.3137,                0.51548,                 1.0221,                0.82074,                0.73974,                 0.8055,                0.38241,                 1.7536,                 0.8673,                 1.4868,                 1.9433,                0.92302,                  1.428,             0.00035208,             0.00035208,             0.00035208
                     72,                 1.0696,                0.52461,                 1.0328,                 1.2885,                0.50935,                  1.019,                0.82468,                0.76027,                0.80308,                0.38572,                 1.7556,                0.85902,                 1.4947,                 1.9203,                0.89166,                 1.4255,             0.00034108,             0.00034108,             0.00034108
                     73,                 1.0743,                0.53757,                 1.0355,                 1.2951,                0.52216,                  1.022,                0.81082,                0.79107,                0.81691,                  0.388,                 1.7715,                0.83552,                 1.4914,                 1.9301,                0.85171,                 1.4236,             0.00033008,             0.00033008,             0.00033008
                     74,                 1.0817,                0.53201,                 1.0317,                 1.3059,                0.51338,                  1.015,                 0.8322,                0.75407,                0.80812,                0.38666,                 1.7831,                0.86759,                 1.4816,                 1.9581,                 0.8931,                 1.4317,             0.00031908,             0.00031908,             0.00031908
                     75,                 1.0643,                0.52241,                 1.0254,                 1.2876,                0.49925,                 1.0087,                0.81257,                0.77518,                0.81037,                0.38736,                 1.7918,                0.87576,                  1.489,                 1.9471,                0.90333,                 1.4245,             0.00030808,             0.00030808,             0.00030808
                     76,                 1.0642,                0.52014,                 1.0233,                 1.2903,                0.50171,                 1.0089,                0.80361,                0.80183,                0.81613,                0.38799,                 1.7904,                0.86012,                 1.4953,                 1.9538,                0.88115,                 1.4373,             0.00029708,             0.00029708,             0.00029708
                     77,                 1.0549,                 0.5179,                 1.0291,                 1.2794,                0.47984,                 1.0149,                0.85468,                0.78323,                0.83996,                0.39878,                 1.7586,                0.80661,                 1.4924,                 1.9275,                0.82904,                 1.4206,             0.00028608,             0.00028608,             0.00028608
                     78,                 1.0537,                0.52373,                 1.0308,                 1.2741,                0.50485,                 1.0137,                0.80746,                0.76304,                0.80408,                0.38583,                 1.7754,                0.89672,                 1.4973,                 1.9569,                0.92627,                 1.4383,             0.00027508,             0.00027508,             0.00027508
                     79,                 1.0442,                0.50582,                  1.017,                 1.2617,                 0.4802,                 1.0034,                0.83466,                0.79793,                0.82173,                0.39613,                 1.7767,                0.85257,                 1.5207,                 1.9189,                0.88228,                 1.4297,             0.00026408,             0.00026408,             0.00026408
                     80,                  1.003,                0.50202,                 1.0101,                 1.2186,                0.47991,                0.99906,                0.82634,                0.71409,                0.77998,                0.37036,                 1.8333,                0.96062,                  1.534,                 1.9879,                  1.019,                 1.4596,             0.00025309,             0.00025309,             0.00025309
                     81,                 1.0165,                0.50548,                 1.0081,                 1.2511,                0.49083,                0.99817,                0.79395,                0.77516,                 0.8173,                 0.3844,                 1.8149,                0.87095,                  1.528,                 1.9538,                0.91701,                 1.4514,             0.00024209,             0.00024209,             0.00024209
                     82,                0.99195,                0.48722,                0.98856,                 1.2075,                0.46728,                0.97956,                0.80743,                0.76001,                0.80797,                0.38136,                 1.7949,                0.87257,                 1.5148,                 1.9542,                0.93043,                 1.4517,             0.00023109,             0.00023109,             0.00023109
                     83,                0.99666,                0.48188,                 1.0018,                 1.2081,                0.45269,                0.99073,                0.78303,                0.72895,                0.76854,                0.35825,                 1.8306,                 0.9604,                 1.5294,                 1.9963,                 1.0449,                 1.4644,             0.00022009,             0.00022009,             0.00022009
                     84,                0.99767,                0.48817,                 1.0014,                 1.2231,                0.47366,                0.98868,                 0.8398,                0.69461,                0.77334,                0.35951,                 1.8321,                 0.9317,                 1.5531,                 1.9846,                 1.0158,                 1.4663,             0.00020909,             0.00020909,             0.00020909
                     85,                0.97952,                0.47994,                0.98624,                 1.1967,                0.45488,                0.97517,                0.82519,                0.75527,                0.80098,                0.38656,                 1.7939,                0.84445,                 1.5319,                 1.9504,                0.87419,                 1.4518,             0.00019809,             0.00019809,             0.00019809
                     86,                 0.9629,                0.47904,                0.97319,                 1.1915,                0.45731,                0.96518,                0.80398,                 0.7896,                0.80089,                0.38258,                 1.7923,                0.86291,                 1.5317,                 1.9551,                0.90762,                 1.4585,             0.00018709,             0.00018709,             0.00018709
                     87,                0.96082,                0.46495,                0.98875,                 1.1724,                0.43485,                0.97573,                0.87015,                0.74919,                0.80809,                 0.3835,                  1.806,                0.88602,                 1.5487,                 1.9706,                0.92806,                 1.4725,             0.00017609,             0.00017609,             0.00017609
                     88,                0.94218,                0.46336,                 0.9856,                  1.158,                0.44457,                0.97047,                 0.8186,                0.74613,                0.77677,                0.36768,                   1.83,                0.93419,                 1.5581,                 2.0016,                 1.0135,                 1.4877,             0.00016509,             0.00016509,             0.00016509
                     89,                0.95451,                0.47327,                0.97906,                 1.1748,                 0.4572,                0.96665,                0.81955,                0.76689,                0.80362,                0.37586,                 1.8055,                0.89438,                 1.5596,                 1.9656,                0.94579,                 1.4739,              0.0001541,              0.0001541,              0.0001541
                     90,                0.93664,                0.45916,                0.96451,                 1.1583,                0.43062,                0.95517,                0.80352,                0.75088,                0.77322,                0.36052,                 1.8297,                0.94287,                 1.5716,                 1.9935,                 1.0461,                 1.4957,              0.0001431,              0.0001431,              0.0001431
                     91,                0.94495,                0.44452,                0.99762,                  1.111,                0.37719,                0.98938,                 0.8581,                0.74304,                0.80468,                0.38231,                 1.8283,                 0.9169,                 1.5668,                 1.9884,                0.99201,                 1.4988,              0.0001321,              0.0001321,              0.0001321
                     92,                0.90558,                0.42666,                0.98604,                 1.0764,                 0.3465,                0.97667,                0.81586,                0.79334,                0.82445,                0.39325,                 1.8079,                0.85963,                   1.57,                 1.9452,                0.94602,                 1.4814,              0.0001211,              0.0001211,              0.0001211
                     93,                0.88627,                0.41277,                0.97636,                 1.0494,                0.34377,                 0.9593,                0.83386,                 0.7807,                0.82389,                0.38906,                 1.8085,                0.82199,                 1.5759,                 1.9601,                0.89341,                 1.4795,              0.0001101,              0.0001101,              0.0001101
                     94,                0.89052,                0.41245,                 0.9861,                 1.0502,                0.33565,                0.97652,                0.79886,                0.78419,                0.81232,                0.38349,                 1.7978,                0.85748,                 1.5639,                 1.9609,                0.95976,                 1.4802,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.86433,                0.40363,                0.96864,                 1.0387,                0.32281,                0.96114,                0.82701,                0.75906,                0.78747,                0.37613,                 1.8201,                 0.8613,                 1.5777,                 1.9898,                0.93581,                 1.4977,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.86756,                0.41029,                 0.9722,                  1.028,                0.33374,                0.96637,                0.81566,                0.78415,                0.80557,                 0.3837,                 1.8113,                0.85108,                 1.5816,                 1.9785,                0.91583,                 1.4995,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.83202,                0.39576,                 0.9629,                 1.0024,                0.32368,                 0.9503,                0.80448,                0.77968,                0.79843,                0.38573,                 1.8097,                 0.8736,                 1.5699,                 1.9724,                0.96046,                 1.4923,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.83217,                 0.3942,                0.95865,                 1.0035,                0.31745,                0.95054,                0.82315,                 0.7869,                0.81386,                0.38508,                 1.8224,                0.86386,                 1.5932,                  1.973,                0.93112,                 1.5029,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.83022,                0.39919,                0.96291,                0.99876,                 0.3218,                0.95548,                0.85641,                0.76931,                0.81561,                0.38773,                 1.8132,                0.86631,                 1.5904,                 1.9666,                 0.9279,                 1.5004,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.82002,                0.39149,                 0.9648,                0.97782,                0.31944,                0.95632,                0.83658,                0.76475,                0.80154,                0.37892,                 1.8218,                0.87487,                 1.5875,                 1.9807,                0.95004,                 1.5079,             3.3108e-05,             3.3108e-05,             3.3108e-05
